date,open,high,low,close,volume,marketCap
2018-02-18,1,1.02,0.998832,1.01,3124180000,2227520000
2018-02-17,1,1.01,0.996919,1,2797600000,2227640000
2018-02-16,1.01,1.01,0.996746,1,2605820000,2228310000
2018-02-15,1.01,1.02,0.997203,1.01,3286910000,2228320000
2018-02-14,0.997715,1.01,0.993292,1,3066190000,2212080000
2018-02-13,1,1.01,0.995931,1,2226760000,2218900000
2018-02-12,1,1.01,0.990812,1,2457490000,2217610000
2018-02-11,1,1.01,0.992728,0.999251,2431740000,2228050000
2018-02-10,1,1.01,0.993346,1,2628380000,2224850000
2018-02-09,1.02,1.05,0.995049,1,1631140000,2263900000
2018-02-08,0.99497,1.03,0.987534,1.02,2466620000,2205990000
2018-02-07,1,1.02,0.984647,1,3307540000,2221910000
2018-02-06,0.9785,1.02,0.958318,1.01,6247250000,2169470000
2018-02-05,0.995794,1.02,0.944777,0.996308,4078980000,2207820000
2018-02-04,1,1.01,0.975209,1.01,2504640000,2226850000
2018-02-03,0.994071,1.02,0.982879,1,2488530000,2204000000
2018-02-02,0.986294,1.02,0.925144,0.990747,4785870000,2186750000
2018-02-01,0.991558,1.01,0.954771,0.986939,3498900000,2198420000
2018-01-31,0.992538,1,0.971403,0.990274,2663930000,2230370000
2018-01-30,0.998672,1.01,0.975436,0.986486,3108630000,2275070000
2018-01-29,0.98844,1,0.981718,0.995319,2031160000,2251760000
2018-01-28,0.996548,1,0.981275,0.98879,2546640000,1612500000
2018-01-27,1,1.01,0.992227,0.993325,2051980000,1622630000
2018-01-26,0.997571,1.02,0.985767,1,2957010000,1614160000
2018-01-25,1.01,1.01,0.987358,0.999595,2571930000,1627040000
2018-01-24,1,1.03,0.992246,0.997484,2620630000,1619450000
2018-01-23,1,1.02,0.984474,1.01,3126830000,1624560000
2018-01-22,1,1.02,0.99151,1.01,3274900000,1624570000
2018-01-21,1,1.03,0.997069,0.999861,3302010000,1622820000
2018-01-20,1.01,1.01,0.991443,1,2942780000,1629410000
2018-01-19,1.02,1.04,1,1,2876990000,1655830000
2018-01-18,1.02,1.04,1,1.02,4302300000,1646020000
2018-01-17,1.03,1.07,0.997739,1.01,5588840000,1671280000
2018-01-16,1.01,1.05,0.999001,1.03,5552930000,1478030000
2018-01-15,1.02,1.02,1,1.01,2557180000,1490690000
2018-01-14,1,1.04,1,1.02,2960410000,1474490000
2018-01-13,1,1.01,0.996576,1,2759880000,1474160000
2018-01-12,1.01,1.02,0.997711,1.01,2668220000,1477270000
2018-01-11,0.999976,1.02,0.990198,1,3841110000,1468050000
2018-01-10,1.01,1.01,0.996446,1,3189860000,1475650000
